model,experiment,epoch,train_loss,val_f1
GNN (Correlation),corr_edge_True,31,0.7651133953238562,0.22427116363248925
GNN (Correlation),corr_edge_True,32,0.7566596229406569,0.20141375263603878
GNN (Correlation),corr_edge_True,33,0.7487604124833354,0.19150060617236733
GNN (Correlation),corr_edge_True,34,0.7416238438740052,0.20149342019279073
GNN (Correlation),corr_edge_True,35,0.7335655586861021,0.23470741564048855
GNN (Correlation),corr_edge_True,36,0.7321604545811098,0.21646292449061832
GNN (Correlation),corr_edge_True,37,0.7227889339486472,0.21408196815902528
GNN (Correlation),corr_edge_True,38,0.7158507300205796,0.21078038924187
GNN (Correlation),corr_edge_True,39,0.7071034635142457,0.18168726637312202
GNN (Correlation),corr_edge_True,40,0.7023300216459542,0.20932923517783864
GNN (Correlation),corr_edge_True,41,0.6943466888593255,0.21435238271973656
GNN (Correlation),corr_edge_True,42,0.6897353556409157,0.23033471107394968
GNN (Correlation),corr_edge_True,43,0.6823393552637786,0.2204465381324345
GNN (Correlation),corr_edge_True,44,0.6741516358614397,0.20535269715728532
GNN (Correlation),corr_edge_True,45,0.6681916642800081,0.21391204312275713
GNN (Correlation),corr_edge_True,46,0.6602502510648408,0.2282154777342719
GNN (Correlation),corr_edge_True,47,0.6587406894071497,0.22385669972358832
GNN (Correlation),corr_edge_True,48,0.6500857066872309,0.2217485964993797
GNN (Correlation),corr_edge_True,49,0.6450073639909141,0.25855714229791477
GNN (Correlation),corr_edge_True,50,0.6391805932140179,0.2402908343118287
GNN (Correlation),corr_edge_True,51,0.6367555481870826,0.2481822264322182
GNN (Correlation),corr_edge_True,52,0.6290312610620218,0.22875065153330496
GNN (Correlation),corr_edge_True,53,0.6241519561560034,0.2607998048776881
GNN (Correlation),corr_edge_True,54,0.6178540855592533,0.2355550724864308
GNN (Correlation),corr_edge_True,55,0.6116128233268107,0.27828934671089506
GNN (Correlation),corr_edge_True,56,0.6086365646756381,0.22365135877317407
GNN (Correlation),corr_edge_True,57,0.6008766268761896,0.24212042278865517
GNN (Correlation),corr_edge_True,58,0.6006216732396497,0.270879245076945
GNN (Correlation),corr_edge_True,59,0.5893220034488242,0.2833996068314975
GNN (Correlation),corr_edge_True,60,0.5860155867720894,0.252613732278861
GNN (Correlation),corr_edge_True,61,0.5812092920885884,0.25153218400464494
GNN (Correlation),corr_edge_True,62,0.5790479169582291,0.262485542064997
GNN (Correlation),corr_edge_True,63,0.5742743016736541,0.2762708778815663
GNN (Correlation),corr_edge_True,64,0.5687164289166602,0.238294107023428
GNN (Correlation),corr_edge_True,65,0.5648455547182252,0.25325590388359476
GNN (Correlation),corr_edge_True,66,0.5545122543497266,0.2709162742453934
GNN (Correlation),corr_edge_True,67,0.5568792393283664,0.27101604319965084
GNN (Correlation),corr_edge_True,68,0.5513630421041584,0.2253607778195774
GNN (Correlation),corr_edge_True,69,0.5459241271662197,0.25809130901125743
GNN (Correlation),corr_edge_True,70,0.5392368655169396,0.26178050965085486
GNN (Correlation),corr_edge_True,71,0.5377124300481175,0.2677377228737643
GNN (Correlation),corr_edge_True,72,0.530226989599655,0.2677652866268234
GNN (Correlation),corr_edge_True,73,0.5315840382906173,0.2546127426993543
GNN (Correlation),corr_edge_True,74,0.5290275296450948,0.2639511679416976
GNN (Correlation),corr_edge_True,75,0.5222960902820174,0.2541184168798956
GNN (Correlation),corr_edge_True,76,0.5203609933152045,0.262259320884343
GNN (Correlation),corr_edge_True,77,0.5133077632716234,0.2464997068758561
GNN (Correlation),corr_edge_True,78,0.5151301428032437,0.2639546851041103
GNN (Correlation),corr_edge_True,79,0.5096246936097205,0.2663511940763135
GNN (Correlation),corr_edge_True,80,0.5054702753857743,0.2680860263803529
GNN (Correlation),corr_edge_True,81,0.5062552848201004,0.24522185697746932
GNN (Correlation),corr_edge_True,82,0.500196399327984,0.2705741850006062
GNN (Correlation),corr_edge_True,83,0.49502730411376883,0.2666503085750443
GNN (Correlation),corr_edge_True,84,0.4882450250734528,0.26393808652589446
GNN (Correlation),corr_edge_True,85,0.48816141032700916,0.23971880751495098
